"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\Users\domin\Dropbox\ChatGPT_Experts\ExpertsGPT\ExpertsGPT\pages\LoadingSpinner.js", "JavaScript", 10, 1, 3, 14
"c:\Users\domin\Dropbox\ChatGPT_Experts\ExpertsGPT\ExpertsGPT\pages\angularupdate.js", "JavaScript", 135, 3, 19, 157
"c:\Users\domin\Dropbox\ChatGPT_Experts\ExpertsGPT\ExpertsGPT\pages\api\openai_chatBot.js", "JavaScript", 49, 6, 15, 70
"c:\Users\domin\Dropbox\ChatGPT_Experts\ExpertsGPT\ExpertsGPT\pages\api\openai_codeReview.js", "JavaScript", 42, 5, 13, 60
"c:\Users\domin\Dropbox\ChatGPT_Experts\ExpertsGPT\ExpertsGPT\pages\api\openai_commitMessage.js", "JavaScript", 27, 1, 9, 37
"c:\Users\domin\Dropbox\ChatGPT_Experts\ExpertsGPT\ExpertsGPT\pages\api\openai_mockData.js", "JavaScript", 31, 1, 9, 41
"c:\Users\domin\Dropbox\ChatGPT_Experts\ExpertsGPT\ExpertsGPT\pages\api\openai_ownChatBot.js", "JavaScript", 27, 2, 4, 33
"c:\Users\domin\Dropbox\ChatGPT_Experts\ExpertsGPT\ExpertsGPT\pages\api\openai_unitTest.js", "JavaScript", 47, 5, 11, 63
"c:\Users\domin\Dropbox\ChatGPT_Experts\ExpertsGPT\ExpertsGPT\pages\api\openai_websiteGenerator.js", "JavaScript", 16, 0, 6, 22
"c:\Users\domin\Dropbox\ChatGPT_Experts\ExpertsGPT\ExpertsGPT\pages\chatbot.js", "JavaScript", 110, 3, 11, 124
"c:\Users\domin\Dropbox\ChatGPT_Experts\ExpertsGPT\ExpertsGPT\pages\codegenerator.js", "JavaScript", 136, 3, 14, 153
"c:\Users\domin\Dropbox\ChatGPT_Experts\ExpertsGPT\ExpertsGPT\pages\codereview.js", "JavaScript", 203, 1, 18, 222
"c:\Users\domin\Dropbox\ChatGPT_Experts\ExpertsGPT\ExpertsGPT\pages\commitmessage.js", "JavaScript", 131, 3, 6, 140
"c:\Users\domin\Dropbox\ChatGPT_Experts\ExpertsGPT\ExpertsGPT\pages\createChatbot.js", "JavaScript", 96, 2, 9, 107
"c:\Users\domin\Dropbox\ChatGPT_Experts\ExpertsGPT\ExpertsGPT\pages\index.js", "JavaScript", 49, 1, 5, 55
"c:\Users\domin\Dropbox\ChatGPT_Experts\ExpertsGPT\ExpertsGPT\pages\mockdatagenerator.js", "JavaScript", 135, 3, 19, 157
"c:\Users\domin\Dropbox\ChatGPT_Experts\ExpertsGPT\ExpertsGPT\pages\ownChatBot.js", "JavaScript", 100, 1, 5, 106
"c:\Users\domin\Dropbox\ChatGPT_Experts\ExpertsGPT\ExpertsGPT\pages\unittest.js", "JavaScript", 203, 1, 18, 222
"c:\Users\domin\Dropbox\ChatGPT_Experts\ExpertsGPT\ExpertsGPT\pages\websiteGenerator.js", "JavaScript", 147, 5, 16, 168
"Total", "-", 1694, 47, 210, 1951
